NTA,company_count,average_savings,jobs_created
Battery Park City-Lower Manhattan,9,469890.79666666663,0.0
Bushwick South,10,26140.454999999998,10.0
Carroll Gardens-Columbia Street-Red Hook,11,24337.39,0.0
College Point,7,17159.37285714286,2.0
Crown Heights North,9,4036.298888888889,0.0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,10,59950.340000000004,0.0
East New York,9,48433.09333333333,15.0
East Williamsburg,11,13990.626363636366,0.0
Greenpoint,14,9753.649285714286,0.0
Hunters Point-Sunnyside-West Maspeth,75,23931.398933333334,0.0
Hunts Point,13,39246.016153846154,12.0
Manhattanville,9,2760.8888888888887,0.0
Maspeth,9,6658.283333333333,10.0
Mott Haven-Port Morris,14,17843.937857142857,10.0
Queensbridge-Ravenswood-Long Island City,16,61830.770625,0.0
SoHo-TriBeCa-Civic Center-Little Italy,5,37214.024,0.0
Springfield Gardens South-Brookville,5,17757.662,0.0
Steinway,7,11227.155714285715,20.0
Sunset Park West,48,14316.976875,0.0
park-cemetery-etc-Brooklyn,15,14327.419333333333,0.0
